Review,Date
выражаю благодарность анне профессионализм умение успокоить клиентов объяснить лояльно решить вопросы погрузиться решение вопроса структурно полочкам ответить вопросы ситуация следующем получил крайне негативный опыт получением сим карты оформлением кн этому вопросу оставлял отзыв негативный банки ру итоге 4 сотрудника смогли помочь слова вообще благодаря анне получилось вернуть нормальное общение чате получив ответы таких сотрудников анна единицы крайней мере банке спасибо большое анна тинькофф прошу поощрить максимально сотрудника денежно прочитайте чат сами увидите незаменимый сотрудник вашем штабе,2024-03-30 00:09:09
заказал карту тинькофф мобайл приехал курьер выдал карту ок пошли перекрестные продажи спрашивает курьер кредиты сторонних банках говорю курьер давайте посчитаем выгоднее рефинанс сделать говорю кредит оформлялся повышения ключевой ставки курьер равно поедложил ознакомиться проверить итоге дешевле интересно оформляйте ок кончено ставка высокая невыгодные условия стал оформлять захожу домой опа пришло сообщение почту оформили кредит полная стоимость кредита ежемесячный платеж графиком платеже ближайший платеж мае присвоен номер кредитного договора это пятница вечер работы инфаркт шлёпнул потерял несколько часов чате вместо побыть семьёй это крайнн серьезно очень серьезно отношусь кредитам пишу чат отвечают это кредит это заявка бред загуглите вики такое кредит такое заявка личном кабинете отобраюается оформленный кредит заявка говорю кредит отрбрается нбки сообщают прошу пояснить такое одобренная заявка такое оформили кредит которые прошло почту разница итоге ещё нбки светится кредитом пугаете клиентов доводить считаете тупым стадом нелбдями прошу срочно принять меры дать ответы также обращение цб каком основании клиенту приходят такие письма оформлены продукты банка оформлены каком основании портится кредитная история клиента мошенники операторы имеют крайне слабую экспертизу вводят заблуждение клиента могут ответит вопрос,2024-03-29 22:37:00
единственный банк который дает чарджбек геморроя хочу дать высокую оценку последних примеров сбермаркет сбермегамаркет грешат добросовестно выполняют работу докладывают товар либо привозят хрен пойми оспорить постфактум практически невозможно ссылаются свои правила требуют проверять привозит курьер спрашиваешь курьера хватает говорит пишите поддержку просто курьер поддержке похер шлет подальше курьеру сказал хватает замкнутый круг тинькофф течении недели рассматривает обращение возвращает недавно сбермаркет умудрился списать карты привязанной тинькофф 30к понятия ноль помощи стороны говорят иди полицию тебе поможем заказ сделан твоего аккаунта доставлен виноват делает тинькофф рассматривает месяц обращение возвращает лучший просто спасибо слову 25 тыс вернул первые дни обращения месяца пришлось ждать 5 тыс болтались месяц итоге вернули обращение сбермаркете висит «рассмотрении» пару месяцев,2024-03-29 22:24:11
задан единственный вопрос жалобе которой вопрос решен сих пор банк проигнорировал предоставил ответ спрашивал поступило письмо банка мою почту сотрудничестве самозанятый сфере письма работаю давно ушел организации мои персональный данные знает передал моего согласия банк налицо нарушение закона 152фз защите персональных данных банк сотрудничает мошенниками компанией которая нарушила закон почему покрываете нарушителей закона,2024-03-29 22:21:01
хочу похвалить банк тиньков операторов поддержки всем помогут просто самый наилучший банк которым либо пользовалась пользовалась тиньков банка очень многими банками сбер синара газпромбанк вообщем многими банками пользовалась остановилась тиньков банке тк радушные отзывчивые сотрудники спешат помощь помогут найти хороший компромисс любой ситуации тиньков банка заблокировала карты банка пользуюсь перейду вообщем самый лучший банк просто лучшие всем мире замен нету спасибо большое хорошую работу,2024-03-29 21:46:16
пришло смс номер телефона данным текстом можем разблокировать ваши карты основании п 45 п 49 укбо решите закрыть счет отправьте нам распоряжение закрытии счета чате почту предоставили образец заявления закрытие счета предоставили почту отсылать искать образец чье имя писать тд,2024-03-29 21:43:51
вернули деньги яндексплюса пришлось поменять кредитную карту сбербанке проблемой отослали подальше оператор тинькофф сразу понял мою проблему предложил варианты решение вопроса кредитную карту привязывал сервису яндексплюс эта карта привязана яндексмаркету видимо оттуда данные перешли автоматически,2024-03-29 21:31:22
сотрудник 82130 10 минут ответил мои вопросы никак мог разобраться особенностями тарифа кредитной карте понравилась компетентность легкость решении моего запроса причиной тому является ощущение клиентоориентированности умение слышать клиента злоупотреблять скриптами банка благодарю щедрость,2024-03-29 21:27:30
ребенка неожиданно начали списывать деньги карты служба поддержки сработала мониеносно вовремя заблокировали карту списаний также течении суток вернули средства незаконно списанные карты оспорили неправомерные операции очень довольная обслуживанием приходят помощь задержек,2024-03-29 20:56:48
просмотра информации условиях кредита мобильном приложении появилась заявка одобренный кредит 2м рублей согласие давал убрать заявку поддержка отказыается прелагают ждать звонка сотрудника сделали заявку моего одобрения прошу убрать её аналогично ждать звонка тратить своё время отвечая собираюсь,2024-03-29 19:20:10
обратился интернет телефону банк сотрудница дарья помогла нам переводе денег узбекистан подсказала досканально перевести деньги конвертации происходят спасибо всё ок отправили ℅быстро молодцы спасибо 2703 2024 года 1449 минут далее специалист дектярь геннадий помог решить проблему всё карты заблокировали перевыпустили другие быстро молодцы всё 100℅ 1000℅ спасибо баку ща таких сотрудников спасибо,2024-03-29 19:10:40
банк тинькофф выходит связь бросает трубки отвечает чате сотрудница тинькофф банка виктория 29032024 1758 начала решать вопрос который решил предыдущий оператор дмитрий 1800 сотрудница тинькофф банка виктория позвонила ходе диалога сказала переведет другого сотрудника положила труюку 1807 чате сотрудница тинькофф банка виктория – перестала отвечать момент 1830 сотрудница тинькофф банка виктория – перезвонила будете компенсирвать вашу неудовлетворительную работу,2024-03-29 18:32:37
подключили услугу моего ведома списали денежные средства тинькффф банк списал личные денежные средства клиента подключил ведома согласия клиента платную услугу вопрос подключили почему согласия клиента подключили – банк отвечать отказался жду возврат денежных средств обоснование согласия клиента распоряжаетесь денежными средствами,2024-03-29 18:24:48
банк тинькофф вводит заблуждение врёт операциях денежными средствами списания денежных средств моего счета тинькофф банке ряду операций задан вопрос банк 08022024 сотрудник банка сообщил информацию банк нашел оплаченный счет сумму 502070 приложив скриншот задали повторный вопрос банк – тинькофф банк предоставил ответ жду ответ банка 1 почему наврали счета сумму 502070 2 почему даете ответ вопрос полутора месяца 3 будете компенсировать вашу неудовлетворительную работу,2024-03-29 18:20:08
27032024 позвонил сотрудник тинькофф банка данис звонил необходимости клиента наврал клиенту сказав требовали перезвонить хотя вопрос решен затем начал говорить блокировку заблокирует счёт жду информацию 1 почему сотрудник банка звонит это нужно проверяет информацию прежде позвонить 2 звонке говорит блокировке счета,2024-03-29 18:19:11
